Screen type,Hours,Equipment,Title,File
Image,0,Flowcode / E-blocks3,Introduction to microcontrollers,LMS Project Assets/CO0001 - FC E-blocks CPD course/CO0001 - opening.png
HTML,0.1,Flowcode / E-blocks3,Welcome,LMS Project Assets/CO0003 - Digital Techniques for Aviation Technicians/CO0003 - welcome.html
YouTube,0.2,Flowcode / E-blocks3,Introducing E-blocks 3,https://youtu.be/KmpyVmv6J_Y?si=bzAVMntlAOE_-Rlv
YouTube,0.2,Flowcode / E-blocks3,Introducing Flowcode,https://youtu.be/tDdptTbvDM0?si=19xqKAzPCOO3In5e
PDF,0.2,Flowcode / E-blocks3,E-blocks datasheet,https://www.matrixtsl.com/wp-content/uploads/2026/03/CP9645-Eblocks-3-Datasheet-1.pdf
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 1,LMS Project Assets/CO0003 - Digital Techniques for Aviation Technicians/Microcontroller basics 1 24 02 26.pptx
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 2,LMS Project Assets/CO0003 - Digital Techniques for Aviation Technicians/Microcontroller basics 2 24 02 26.pptx
HTML,1,Flowcode / E-blocks3,Getting started guide,https://www.flowcode.co.uk/wiki/index.php?title=Embedded_Getting_Started_Guide
Document,1,Flowcode / E-blocks3,First program,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-1.docx
Document,1,Flowcode / E-blocks3,Performing calculations,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-2.docx
Document,2,Flowcode / E-blocks3,Connection points,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-3.docx
Document,2,Flowcode / E-blocks3,Digital inputs,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-4.docx
HTML,2,Flowcode / E-blocks3,Homework 1,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-H1.htm
Document,2,Flowcode / E-blocks3,Making decisions,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-5.docx
Document,2,Flowcode / E-blocks3,Macros / subroutines,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-6.docx
Document,2,Flowcode / E-blocks3,Using prototype boards,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-7.docx
Document,2,Flowcode / E-blocks3,Analogue inputs,LMS Project Assets/CP1972 - Sensors and microcontrollers/CP1972-1.docx
Document,2,Flowcode / E-blocks3,Colour graphical displays,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-8.docx
HTML,2,Flowcode / E-blocks3,Homework 2,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-H2.htm
Document,2,Flowcode / E-blocks3,Light sensor,LMS Project Assets/CP1972 - Sensors and microcontrollers/CP1972-2.docx
Document,2,Flowcode / E-blocks3,Analogue temperature sensor,LMS Project Assets/CP1972 - Sensors and microcontrollers/CP1972-3.docx
HTML,2,Flowcode / E-blocks3,Homework 3,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-H3.htm
Document,2,Flowcode / E-blocks3,Basic DC motors,LMS Project Assets/CP0507 - Motors and microcontrollers/CP0507-1.docx
Document,2,Flowcode / E-blocks3,Full bridge motor control,LMS Project Assets/CP0507 - Motors and microcontrollers/CP0507-2.docx
Document,2,Flowcode / E-blocks3,Servo motor control,LMS Project Assets/CP0507 - Motors and microcontrollers/CP0507-4.docx
Document,2,tsestt,test,LMS Project Assets/CO0001 - FC E-blocks CPD course/test.docx
