Screen type,Hours,Equipment,Title,File
Document,0.5,Flowcode / E-blocks3,Title page,LMS Project Assets/CP7244 - Digital Techniques for Aviation Technicians/CP7244-head.docx   [NOT IN DRIVE]
Document,0.1,Flowcode / E-blocks3,Contents,LMS Project Assets/CP7244 - Digital Techniques for Aviation Technicians/CP7244-cont.docx   [NOT IN DRIVE]
Document,2,Flowcode / E-blocks3,First program,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-1.docx
Document,2,Flowcode / E-blocks3,Performing calculations,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-2.docx
Document,2,Flowcode / E-blocks3,Connection points,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-3.docx
Document,2,Flowcode / E-blocks3,Digital inputs,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-4.docx
Document,2,Flowcode / E-blocks3,Making decisions,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-5.docx
Document,2,Flowcode / E-blocks3,Macros / subroutines,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-6.docx
Document,2,Flowcode / E-blocks3,Using prototype boards,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-7.docx
Document,2,Flowcode / E-blocks3,Analogue inputs,LMS Project Assets/CP1972 - Sensors and microcontrollers/CP1972-1.docx
Document,2,Flowcode / E-blocks3,Colour graphical displays,LMS Project Assets/CP4807 - Introduction to microcontrollers/CP4807-8.docx
Document,2,Flowcode / E-blocks3,Light sensor,LMS Project Assets/CP1972 - Sensors and microcontrollers/CP1972-2.docx
Document,2,Flowcode / E-blocks3,Analogue temperature sensor,LMS Project Assets/CP1972 - Sensors and microcontrollers/CP1972-3.docx
Document,2,Flowcode / E-blocks3,Basic DC motors,LMS Project Assets/CP0507 - Motors and microcontrollers/CP0507-1.docx
Document,2,Flowcode / E-blocks3,Full bridge motor control,LMS Project Assets/CP0507 - Motors and microcontrollers/CP0507-2.docx
Document,2,Flowcode / E-blocks3,Servo motor control,LMS Project Assets/CP0507 - Motors and microcontrollers/CP0507-4.docx
Document,0.5,Flowcode / E-blocks3,Teacher notes,LMS Project Assets/CP4807 - Introduction to microcontrollers/TN-1.docx   [NOT IN DRIVE]
