Screen type,Hours,Equipment,Title,File
Image,0,Flowcode / E-blocks3,Introduction to microcontrollers,opening.svg
HTML,0.1,Flowcode / E-blocks3,Welcome,CO0003 - welcome.html
YouTube,0.2,Flowcode / E-blocks3,Introducing E-blocks 3,https://youtu.be/KmpyVmv6J_Y?si=bzAVMntlAOE_-Rlv
YouTube,0.2,Flowcode / E-blocks3,Introducing Flowcode,https://youtu.be/tDdptTbvDM0?si=19xqKAzPCOO3In5e
PDF,0.2,Flowcode / E-blocks3,E-blocks datasheet,https://www.matrixtsl.com/wp-content/uploads/2026/03/CP9645-Eblocks-3-Datasheet-1.pdf
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 1,Microcontroller basics 1 24 02 26.pptx
Powerpoint,0.3,Flowcode / E-blocks3,Microcontroller basics 2,Microcontroller basics 2 24 02 26.pptx
HTML,1,Flowcode / E-blocks3,Getting started guide,https://www.flowcode.co.uk/wiki/index.php?title=Embedded_Getting_Started_Guide
Document,1,Flowcode / E-blocks3,First program,CP4807-1.docx
Document,1,Flowcode / E-blocks3,Performing calculations,CP4807-2.docx
Document,2,Flowcode / E-blocks3,Connection points,CP4807-3.docx
Document,2,Flowcode / E-blocks3,Digital inputs,CP4807-4.docx
HTML,2,Flowcode / E-blocks3,Homework 1,CP4807-H1.htm
Document,2,Flowcode / E-blocks3,Making decisions,CP4807-5.docx
Document,2,Flowcode / E-blocks3,Macros / subroutines,CP4807-6.docx
Document,2,Flowcode / E-blocks3,Using prototype boards,CP4807-7.docx
Document,2,Flowcode / E-blocks3,Analogue inputs,CP1972-1.docx
Document,2,Flowcode / E-blocks3,Colour graphical displays,CP4807-8.docx
HTML,2,Flowcode / E-blocks3,Homework 2,CP4807-H2.htm
Document,2,Flowcode / E-blocks3,Light sensor,CP1972-2.docx
Document,2,Flowcode / E-blocks3,Analogue temperature sensor,CP1972-3.docx
HTML,2,Flowcode / E-blocks3,Homework 3,CP4807-H3.htm
Document,2,Flowcode / E-blocks3,Basic DC motors,CP0507-1.docx
Document,2,Flowcode / E-blocks3,Full bridge motor control,CP0507-2.docx
Document,2,Flowcode / E-blocks3,Servo motor control,CP0507-4.docx
Document,2,tsestt,test,test.docx
