Screen type,Hours,Equipment,Title,File
Document,0.5,Flowcode / E-blocks3,Title page,CP7244-head.docx
Document,0.1,Flowcode / E-blocks3,Contents,CP7244-cont.docx
Document,2,Flowcode / E-blocks3,First program,CP4807-1.docx
Document,2,Flowcode / E-blocks3,Performing calculations,CP4807-2.docx
Document,2,Flowcode / E-blocks3,Connection points,CP4807-3.docx
Document,2,Flowcode / E-blocks3,Digital inputs,CP4807-4.docx
Document,2,Flowcode / E-blocks3,Making decisions,CP4807-5.docx
Document,2,Flowcode / E-blocks3,Macros / subroutines,CP4807-6.docx
Document,2,Flowcode / E-blocks3,Using prototype boards,CP4807-7.docx
Document,2,Flowcode / E-blocks3,Analogue inputs,CP1972-1.docx
Document,2,Flowcode / E-blocks3,Colour graphical displays,CP4807-8.docx
Document,2,Flowcode / E-blocks3,Light sensor,CP1972-2.docx
Document,2,Flowcode / E-blocks3,Analogue temperature sensor,CP1972-3.docx
Document,2,Flowcode / E-blocks3,Basic DC motors,CP0507-1.docx
Document,2,Flowcode / E-blocks3,Full bridge motor control,CP0507-2.docx
Document,2,Flowcode / E-blocks3,Servo motor control,CP0507-4.docx
Document,0.5,Flowcode / E-blocks3,Teacher notes,TN-1.docx
